Date,Company,Ticker,Close_Price,Industry,Sector
2/1/2023,Apple,AAPL,145.43,Computer Manufacturing,Technology
2/2/2023,Apple,AAPL,150.82,Computer Manufacturing,Technology
2/3/2023,Apple,AAPL,154.5,Computer Manufacturing,Technology
2/6/2023,Apple,AAPL,151.73,Computer Manufacturing,Technology
2/7/2023,Apple,AAPL,154.65,Computer Manufacturing,Technology
2/8/2023,Apple,AAPL,151.92,Computer Manufacturing,Technology
2/9/2023,Apple,AAPL,150.87,Computer Manufacturing,Technology
2/10/2023,Apple,AAPL,151.01,Computer Manufacturing,Technology
2/13/2023,Apple,AAPL,153.85,Computer Manufacturing,Technology
2/14/2023,Apple,AAPL,153.2,Computer Manufacturing,Technology
2/15/2023,Apple,AAPL,155.33,Computer Manufacturing,Technology
2/16/2023,Apple,AAPL,153.71,Computer Manufacturing,Technology
2/17/2023,Apple,AAPL,152.55,Computer Manufacturing,Technology
2/21/2023,Apple,AAPL,148.48,Computer Manufacturing,Technology
2/22/2023,Apple,AAPL,148.91,Computer Manufacturing,Technology
2/23/2023,Apple,AAPL,149.4,Computer Manufacturing,Technology
2/24/2023,Apple,AAPL,146.71,Computer Manufacturing,Technology
2/27/2023,Apple,AAPL,147.92,Computer Manufacturing,Technology
2/28/2023,Apple,AAPL,147.41,Computer Manufacturing,Technology
3/1/2023,Apple,AAPL,145.31,Computer Manufacturing,Technology
3/2/2023,Apple,AAPL,145.91,Computer Manufacturing,Technology
3/3/2023,Apple,AAPL,151.03,Computer Manufacturing,Technology
3/6/2023,Apple,AAPL,153.83,Computer Manufacturing,Technology
3/7/2023,Apple,AAPL,151.6,Computer Manufacturing,Technology
3/8/2023,Apple,AAPL,152.87,Computer Manufacturing,Technology
3/9/2023,Apple,AAPL,150.59,Computer Manufacturing,Technology
3/10/2023,Apple,AAPL,148.5,Computer Manufacturing,Technology
3/13/2023,Apple,AAPL,150.47,Computer Manufacturing,Technology
3/14/2023,Apple,AAPL,152.59,Computer Manufacturing,Technology
3/15/2023,Apple,AAPL,152.99,Computer Manufacturing,Technology
3/16/2023,Apple,AAPL,155.85,Computer Manufacturing,Technology
3/17/2023,Apple,AAPL,155,Computer Manufacturing,Technology
3/20/2023,Apple,AAPL,157.4,Computer Manufacturing,Technology
3/21/2023,Apple,AAPL,159.28,Computer Manufacturing,Technology
3/22/2023,Apple,AAPL,157.83,Computer Manufacturing,Technology
3/23/2023,Apple,AAPL,158.93,Computer Manufacturing,Technology
3/24/2023,Apple,AAPL,160.25,Computer Manufacturing,Technology
3/27/2023,Apple,AAPL,158.28,Computer Manufacturing,Technology
3/28/2023,Apple,AAPL,157.65,Computer Manufacturing,Technology
3/29/2023,Apple,AAPL,160.77,Computer Manufacturing,Technology
3/30/2023,Apple,AAPL,162.36,Computer Manufacturing,Technology
3/31/2023,Apple,AAPL,164.9,Computer Manufacturing,Technology
4/3/2023,Apple,AAPL,166.17,Computer Manufacturing,Technology
4/4/2023,Apple,AAPL,165.63,Computer Manufacturing,Technology
4/5/2023,Apple,AAPL,163.76,Computer Manufacturing,Technology
4/6/2023,Apple,AAPL,164.66,Computer Manufacturing,Technology
4/10/2023,Apple,AAPL,162.03,Computer Manufacturing,Technology
4/11/2023,Apple,AAPL,160.8,Computer Manufacturing,Technology
4/12/2023,Apple,AAPL,160.1,Computer Manufacturing,Technology
4/13/2023,Apple,AAPL,165.56,Computer Manufacturing,Technology
4/14/2023,Apple,AAPL,165.21,Computer Manufacturing,Technology
4/17/2023,Apple,AAPL,165.23,Computer Manufacturing,Technology
4/18/2023,Apple,AAPL,166.47,Computer Manufacturing,Technology
4/19/2023,Apple,AAPL,167.63,Computer Manufacturing,Technology
4/20/2023,Apple,AAPL,166.65,Computer Manufacturing,Technology
4/21/2023,Apple,AAPL,165.02,Computer Manufacturing,Technology
4/24/2023,Apple,AAPL,165.33,Computer Manufacturing,Technology
4/25/2023,Apple,AAPL,163.77,Computer Manufacturing,Technology
4/26/2023,Apple,AAPL,163.76,Computer Manufacturing,Technology
4/27/2023,Apple,AAPL,168.41,Computer Manufacturing,Technology
4/28/2023,Apple,AAPL,169.68,Computer Manufacturing,Technology
5/1/2023,Apple,AAPL,169.59,Computer Manufacturing,Technology
5/2/2023,Apple,AAPL,168.54,Computer Manufacturing,Technology
5/3/2023,Apple,AAPL,167.45,Computer Manufacturing,Technology
5/4/2023,Apple,AAPL,165.79,Computer Manufacturing,Technology
5/5/2023,Apple,AAPL,173.57,Computer Manufacturing,Technology
5/8/2023,Apple,AAPL,173.5,Computer Manufacturing,Technology
5/9/2023,Apple,AAPL,171.77,Computer Manufacturing,Technology
5/10/2023,Apple,AAPL,173.56,Computer Manufacturing,Technology
5/11/2023,Apple,AAPL,173.75,Computer Manufacturing,Technology
5/12/2023,Apple,AAPL,172.57,Computer Manufacturing,Technology
5/15/2023,Apple,AAPL,172.07,Computer Manufacturing,Technology
5/16/2023,Apple,AAPL,172.07,Computer Manufacturing,Technology
5/17/2023,Apple,AAPL,172.69,Computer Manufacturing,Technology
5/18/2023,Apple,AAPL,175.05,Computer Manufacturing,Technology
5/19/2023,Apple,AAPL,175.16,Computer Manufacturing,Technology
5/22/2023,Apple,AAPL,174.2,Computer Manufacturing,Technology
5/23/2023,Apple,AAPL,171.56,Computer Manufacturing,Technology
5/24/2023,Apple,AAPL,171.84,Computer Manufacturing,Technology
5/25/2023,Apple,AAPL,172.99,Computer Manufacturing,Technology
5/26/2023,Apple,AAPL,175.43,Computer Manufacturing,Technology
5/30/2023,Apple,AAPL,177.3,Computer Manufacturing,Technology
5/31/2023,Apple,AAPL,177.25,Computer Manufacturing,Technology
6/1/2023,Apple,AAPL,180.09,Computer Manufacturing,Technology
6/2/2023,Apple,AAPL,180.95,Computer Manufacturing,Technology
6/5/2023,Apple,AAPL,179.58,Computer Manufacturing,Technology
6/6/2023,Apple,AAPL,179.21,Computer Manufacturing,Technology
6/7/2023,Apple,AAPL,177.82,Computer Manufacturing,Technology
6/8/2023,Apple,AAPL,180.57,Computer Manufacturing,Technology
6/9/2023,Apple,AAPL,180.96,Computer Manufacturing,Technology
6/12/2023,Apple,AAPL,183.79,Computer Manufacturing,Technology
